일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-01-06,237000,240500,215000,216500,758254,-7.872340425531915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,234500,237500,230500,235000,240059,0.8583690987124464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,233500,237000,227000,233000,245044,0.8658008658008658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,236000,236500,229000,231000,184076,-1.4925373134328357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,232000,238000,227000,234500,257952,1.956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,232500,232500,226000,230000,280736,-1.2875536480686696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,237000,237000,229500,233000,284322,-1.2711864406779665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,244000,244500,235000,236000,375197,-3.278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,246500,247500,240500,244000,242519,0.411522633744856,12799.0,1178.0,19421.0,-33398.0,0.0,61651.0,20.36000061035156,51144.0,0.1400000005960464
2025-12-19,247000,247500,241000,243000,293083,-0.2053388090349076,14778.0,788.0,41791.0,-57357.0,0.0,71686.0,20.01000022888184,59312.0,0.1599999964237213
2025-12-18,256000,256000,243500,243500,296183,-5.0682261208577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,267500,267500,253000,256500,365063,-2.840909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,252500,271500,250000,264000,745658,5.179282868525896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,245500,255500,243000,251000,247713,1.414141414141414,6002.0,363.0,-49027.0,42662.0,0.0,4227.0,1.2999999523162842,94697.0,0.25
2025-12-12,256500,260000,247000,247500,251507,-2.366863905325444,-13706.0,654.0,37821.0,-24769.0,0.0,10023.0,2.7100000381469727,107628.0,0.2899999916553497
2025-12-11,255000,261500,252000,253500,276034,0.5952380952380952,-23779.0,-27.0,-5087.0,28893.0,0.0,7529.0,1.9600000381469729,107996.0,0.2899999916553497
2025-12-10,265000,267500,251000,252000,315719,-3.076923076923077,-9844.0,-272.0,23668.0,-13552.0,0.0,20296.0,4.400000095367432,135526.0,0.3600000143051147
2025-12-09,268000,268000,257500,260000,285095,-3.525046382189239,-10397.0,2130.0,65087.0,-56820.0,0.0,13757.0,3.470000028610229,135274.0,0.3600000143051147
2025-12-08,258500,275500,258500,269500,702087,5.893909626719057,52971.0,-10392.0,-207361.0,164782.0,0.0,9949.0,0.8999999761581421,123894.0,0.3300000131130218
2025-12-05,248500,254500,242500,254500,408476,2.8282828282828283,30979.0,-176.0,-143559.0,112756.0,0.0,13343.0,2.450000047683716,122142.0,0.3300000131130218
2025-12-04,247500,254500,245000,247500,242988,1.020408163265306,11698.0,-1304.0,-9371.0,-1023.0,0.0,16931.0,4.75,129317.0,0.3499999940395355
2025-12-03,248500,251000,238500,245000,400200,-1.0101010101010102,-62003.0,-1019.0,-12689.0,75711.0,0.0,12719.0,2.400000095367432,140196.0,0.3700000047683716
2025-12-02,250500,255500,245000,247500,363437,-1.98019801980198,-59869.0,3197.0,8293.0,48379.0,0.0,24571.0,4.940000057220459,129357.0,0.3499999940395355
2025-12-01,258000,258500,246000,252500,357740,-1.1741682974559686,33851.0,2456.0,-23596.0,-12711.0,0.0,21103.0,3.9600000381469727,127912.0,0.3400000035762787
2025-11-28,264000,267500,252500,255500,384689,-3.947368421052632,22745.0,-332.0,56866.0,-79279.0,0.0,29618.0,4.940000057220459,117441.0,0.3100000023841858
2025-11-27,248000,266000,247500,266000,560962,6.4,139817.0,-259.0,-220024.0,80466.0,0.0,21502.0,2.380000114440918,99179.0,0.2599999904632568
2025-11-26,253000,254000,241500,250000,421780,-0.1996007984031935,-291.0,796.0,-35454.0,34949.0,0.0,54198.0,9.079999923706056,89989.0,0.2399999946355819
2025-11-25,248000,255000,243500,250500,474423,1.2121212121212122,45201.0,1757.0,-57856.0,10898.0,0.0,31795.0,4.409999847412109,104563.0,0.2800000011920929
2025-11-24,246000,252500,235000,247500,3242276,3.9915966386554618,217945.0,-4641.0,-247052.0,33748.0,0.0,222595.0,6.119999885559082,84990.0,0.2300000041723251
2025-11-21,242000,242000,232500,238000,430563,0.4219409282700421,50294.0,-1883.0,19809.0,-68220.0,0.0,6865.0,1.0700000524520874,41229.0,0.1099999994039535
2025-11-20,222500,249000,221000,237000,788441,5.56792873051225,100501.0,-2816.0,-185565.0,87880.0,0.0,17537.0,1.3300000429153442,50430.0,0.1299999952316284
2025-11-19,216000,225500,213000,224500,503086,4.418604651162791,66281.0,-1224.0,-134906.0,69849.0,0.0,4531.0,0.5899999737739563,43010.0,0.1099999994039535
2025-11-18,217000,222500,212000,215000,289277,-1.6018306636155606,2532.0,-2498.0,-48577.0,48543.0,0.0,7504.0,1.820000052452088,66820.0,0.1800000071525573
2025-11-17,222000,225500,217000,218500,359136,-0.4555808656036446,-5308.0,-2713.0,15405.0,-7384.0,0.0,5520.0,1.0,65792.0,0.1800000071525573
2025-11-14,209500,223500,208500,219500,703586,2.810304449648712,186085.0,-4825.0,-136000.0,-45260.0,0.0,11634.0,1.0499999523162842,67773.0,0.1800000071525573
2025-11-13,211500,217000,209500,213500,473309,1.1848341232227488,6348.0,1245.0,-28562.0,20969.0,0.0,8048.0,1.090000033378601,76174.0,0.2000000029802322
2025-11-12,213000,214000,204000,211000,580602,-0.7058823529411765,-31755.0,1611.0,-3871.0,34015.0,0.0,5532.0,0.6100000143051147,112050.0,0.3000000119209289
2025-11-11,219000,221000,206500,212500,1269534,-3.6281179138322,-177455.0,-7860.0,-17993.0,203308.0,0.0,19020.0,1.0099999904632568,145220.0,0.3899999856948852
2025-11-10,237500,239500,217000,220500,919703,-5.769230769230769,-181813.0,-9573.0,129177.0,62209.0,0.0,19002.0,1.2699999809265137,160840.0,0.4300000071525574
2025-11-07,237500,247000,231000,234000,1031039,0.0,69501.0,-7981.0,-107173.0,45653.0,0.0,23074.0,1.440000057220459,145613.0,0.3899999856948852
2025-11-06,270000,271500,231500,234000,2241648,-10.51625239005736,-120988.0,2840.0,425520.0,-307372.0,0.0,142180.0,4.360000133514404,139511.0,0.3700000047683716
2025-11-05,273500,275500,254500,261500,571733,-5.253623188405797,-10044.0,-6115.0,102093.0,-85934.0,0.0,49554.0,6.130000114440918,102162.0,0.270000010728836
2025-11-04,270500,279500,267000,276000,500326,1.2844036697247707,-3877.0,548.0,20353.0,-17024.0,0.0,56092.0,7.760000228881836,95034.0,0.25
2025-11-03,260000,274500,256000,272500,504439,6.862745098039216,49591.0,3093.0,-76453.0,23769.0,0.0,18154.0,2.140000104904175,89318.0,0.2399999946355819
2025-10-31,258500,262500,251000,255000,433195,0.591715976331361,20747.0,456.0,-31118.0,9915.0,0.0,19392.0,2.819999933242798,69257.0,0.1899999976158142
2025-10-30,241500,256500,239000,253500,645518,6.066945606694561,51422.0,2461.0,-128423.0,74540.0,0.0,29641.0,2.7699999809265137,64592.0,0.1700000017881393
2025-10-29,246000,246500,237000,239000,391823,-3.042596348884381,-17347.0,-4982.0,30191.0,-7862.0,0.0,15252.0,2.630000114440918,64435.0,0.1700000017881393
2025-10-28,246000,258000,241500,246500,566514,1.6494845360824744,-29817.0,4537.0,49977.0,-24697.0,0.0,72650.0,8.1899995803833,64533.0,0.1700000017881393
2025-10-27,236000,247000,232500,242500,337465,1.677148846960168,-34123.0,153.0,-8180.0,42150.0,0.0,12433.0,2.369999885559082,61904.0,0.1700000017881393
2025-10-24,247500,253000,237500,238500,521308,-1.6494845360824744,7914.0,-375.0,65126.0,-72665.0,0.0,27259.0,3.430000066757202,50797.0,0.1400000005960464
2025-10-23,241000,245000,235500,242500,472563,2.536997885835095,42849.0,3633.0,87225.0,-133707.0,0.0,29316.0,4.21999979019165,34762.0,0.0900000035762786
2025-10-22,235500,241500,233000,236500,375465,2.159827213822894,35043.0,-815.0,49653.0,-83881.0,0.0,22596.0,4.039999961853027,12303.0,0.0299999993294477
2025-10-21,234500,236000,229500,231500,445815,-1.279317697228145,-142540.0,-879.0,56807.0,86612.0,0.0,4777.0,0.7799999713897705,0.0,0.0
2025-10-20,239500,239500,228000,234500,571293,-2.0876826722338206,-28827.0,-2407.0,36328.0,-5094.0,0.0,24370.0,3.0999999046325684,18543.0,0.050000000745058
2025-10-17,242500,245000,234500,239500,333799,-1.2371134020618555,-34434.0,99.0,-6276.0,40611.0,0.0,21517.0,4.260000228881836,10138.0,0.0299999993294477
2025-10-16,251500,258000,241000,242500,488318,-2.217741935483871,-35368.0,2124.0,42215.0,-8971.0,0.0,71421.0,10.220000267028809,4811.0,0.0099999997764825
2025-10-15,248500,251500,245000,248000,251688,0.4048582995951417,4195.0,1900.0,-2661.0,-3434.0,0.0,43404.0,12.5,4924.0,0.0099999997764825
2025-10-14,256500,257500,246000,247000,511417,-4.633204633204633,-71550.0,-7960.0,21260.0,58250.0,0.0,38419.0,5.389999866485596,4975.0,0.0099999997764825
2025-10-13,252500,263500,250500,259000,275420,0.7782101167315175,-8122.0,-45.0,-43124.0,51291.0,0.0,26130.0,6.150000095367432,0.0,0.0
