일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-01-09,119400,120100,119000,119200,182852,-0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,120300,120600,118800,120000,242153,-0.579950289975145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,121400,122200,118600,120700,321573,-0.9844134536505332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,126700,126900,121300,121900,327085,-3.7124802527646126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,129100,129200,125700,126600,301435,-0.2364066193853428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,122000,127400,121600,126900,410844,6.192468619246862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,119800,120400,118700,119500,82787,-0.1670843776106934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,118300,119900,117500,119700,124679,0.6728343145500421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,120700,121200,118800,118900,123613,-1.3278008298755186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,121700,121800,120400,120500,73641,-0.4132231404958678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,122200,122500,120700,121000,105242,-0.7383100902378998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,122000,122300,121200,121900,109240,0.5775577557755776,8496.0,1.0,-7754.0,-743.0,0.0,22307.0,16.829999923706055,720184.0,1.2300000190734863
2025-12-19,120200,122000,119800,121200,136648,1.592623637887678,22223.0,1639.0,-30377.0,6515.0,0.0,28435.0,16.969999313354492,710828.0,1.2200000286102295
2025-12-18,121400,121400,119200,119300,137741,-2.052545155993432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,124900,125200,121800,121800,178094,-1.932367149758454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,123600,124800,122700,124200,234068,1.2224938875305624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,121500,123700,120600,122700,153178,0.7389162561576355,15380.0,300.0,-37957.0,22277.0,0.0,14977.0,7.420000076293945,709508.0,1.2100000381469729
2025-12-12,122400,123000,121800,121800,100514,0.0,3593.0,-231.0,10575.0,-13937.0,0.0,15053.0,11.949999809265137,727790.0,1.2400000095367432
2025-12-11,122200,123100,120800,121800,226966,0.4122011541632316,-9390.0,723.0,5137.0,3530.0,0.0,28370.0,9.729999542236328,720474.0,1.2300000190734863
2025-12-10,122200,122600,120900,121300,112071,-0.5737704918032787,-6293.0,940.0,6054.0,-701.0,0.0,13094.0,8.609999656677246,704556.0,1.2000000476837158
2025-12-09,123300,123400,121800,122000,109171,-0.7323026851098454,1891.0,171.0,33255.0,-35317.0,0.0,16094.0,10.31999969482422,711732.0,1.2200000286102295
2025-12-08,124400,124800,122600,122900,115980,-1.1263073209975865,-29953.0,1366.0,42235.0,-13648.0,0.0,14283.0,8.829999923706055,695635.0,1.190000057220459
2025-12-05,123500,124300,121700,124300,196073,0.2419354838709677,14276.0,-548.0,14792.0,-28520.0,0.0,22721.0,8.359999656677246,686298.0,1.1699999570846558
2025-12-04,125200,125500,123400,124000,153735,-0.9584664536741214,-15178.0,1267.0,44716.0,-30805.0,0.0,15843.0,7.400000095367432,661420.0,1.1299999952316284
2025-12-03,124900,125700,124200,125200,92430,0.3205128205128205,15562.0,-416.0,-9053.0,-6093.0,0.0,16500.0,13.06999969482422,635973.0,1.090000033378601
2025-12-02,125700,125800,123600,124800,188712,-0.4784688995215311,-40261.0,433.0,53062.0,-13234.0,0.0,37144.0,15.199999809265137,623076.0,1.0700000524520874
2025-12-01,125600,125900,124100,125400,140031,0.8849557522123894,14381.0,-253.0,-11029.0,-3099.0,0.0,27838.0,14.859999656677246,598793.0,1.0199999809265137
2025-11-28,125100,125500,123700,124300,145968,-0.6394884092725819,12282.0,528.0,25606.0,-38416.0,0.0,19997.0,9.8100004196167,580687.0,0.9900000095367432
2025-11-27,127300,128800,124600,125100,198214,-1.8823529411764703,-9634.0,249.0,62347.0,-52962.0,0.0,30837.0,9.850000381469728,564886.0,0.9700000286102296
2025-11-26,128000,128100,126100,127500,175099,0.870253164556962,12551.0,1349.0,1288.0,-15188.0,0.0,32910.0,13.399999618530272,523910.0,0.8999999761581421
2025-11-25,132100,132100,125800,126400,249048,-3.437738731856379,-11304.0,-936.0,33996.0,-21756.0,0.0,55160.0,14.5600004196167,511552.0,0.8700000047683716
2025-11-24,135800,136000,130800,130900,323353,-2.604166666666667,11087.0,-5264.0,-7275.0,1452.0,0.0,28334.0,6.340000152587891,476346.0,0.8100000023841858
2025-11-21,135800,136100,132900,134400,376946,-0.2967359050445104,104526.0,542.0,-4464.0,-100604.0,0.0,23451.0,4.510000228881836,458087.0,0.7799999713897705
2025-11-20,127500,137900,126500,134800,841761,5.559906029757244,244931.0,-998.0,-405578.0,161645.0,0.0,22425.0,1.7899999618530271,503637.0,0.8600000143051147
