일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-23,89700,90300,88400,88600,69032,-0.8948545861297539,14011,-40,-6991,-6980,0,9984.0,13.720000267028809,8019.0,0.009999999776482582
2025-12-22,90000,90200,88400,89400,103271,0.7891770011273956,25164,103,-7578,-17689,0,7007.0,6.570000171661377,8019.0,0.009999999776482582
2025-12-19,90400,90700,88200,88700,219717,-1.1148272017837235,23028,-49,-2488,-20491,0,4134.0,1.809999942779541,8019.0,0.009999999776482582
2025-12-18,90500,91000,88300,89700,152697,-0.33333333333333337,44965,2650,6582,-54197,0,5772.0,3.619999885559082,8019.0,0.009999999776482582
2025-12-17,90300,91000,89200,90000,154706,0.0,49385,123,-2684,-46824,0,10793.0,6.75,8019.0,0.009999999776482582
2025-12-16,88100,92600,87950,90000,374538,0.8968609865470852,195518,178,-12493,-183203,0,29074.0,7.460000038146973,8019.0,0.009999999776482582
2025-12-15,85400,90500,84600,89200,253808,3.480278422273782,44733,4708,-11214,-38227,0,28012.0,10.119999885559082,8019.0,0.009999999776482582
2025-12-12,86500,87050,84500,86200,402995,0.3492433061699651,22500,-6,3124,-25618,0,104602.0,25.030000686645508,8019.0,0.0099999997764825
2025-12-11,85200,87300,84000,85900,368294,1.536643026004728,13034,-92,-22865,9923,0,31499.0,8.199999809265137,8019.0,0.0099999997764825
2025-12-10,85200,85200,83600,84600,262913,0.0,-6040,-2374,-18784,27198,0,12494.0,4.650000095367432,8117.0,0.0099999997764825
2025-12-09,87400,87500,83000,84600,258798,-3.8636363636363633,21688,5735,79425,-106848,0,27317.0,9.539999961853027,8117.0,0.0099999997764825
2025-12-08,87400,88400,86600,88000,164432,0.1137656427758816,-45476,394,2272,42810,0,8193.0,4.769999980926514,8117.0,0.0099999997764825
2025-12-05,86600,88500,86200,87900,201532,0.5720823798627002,11225,-229,-7381,-3615,0,12332.0,5.769999980926514,18591.0,0.0299999993294477
2025-12-04,86400,88000,86400,87400,115676,1.1574074074074074,-3949,720,8214,-4985,0,11368.0,9.119999885559082,29428.0,0.0399999991059303
2025-12-03,88100,88900,85900,86400,205811,-2.81214848143982,-50118,3073,64903,-17858,0,2556.0,1.159999966621399,40033.0,0.0599999986588954
2025-12-02,87200,88900,86300,88900,185275,3.132250580046404,-6955,1659,-4053,9349,0,6879.0,3.5799999237060547,40033.0,0.0599999986588954
2025-12-01,86500,87400,85300,86200,165541,0.2325581395348837,6067,1800,4546,-12413,0,8806.0,4.860000133514404,40033.0,0.0599999986588954
2025-11-28,89900,89900,85800,86000,234659,-4.338153503893214,3808,1649,40900,-46357,0,6717.0,2.690000057220459,40042.0,0.0599999986588954
2025-11-27,89100,90700,88800,89900,299075,0.2229654403567447,2926,-1651,-2492,1217,0,8520.0,2.819999933242798,40208.0,0.0599999986588954
