일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-23,84300,85500,83300,84300,222260,2.804878048780488,11609,-4309,-56717,49417,0,7233.0,2.2100000381469727,322801.0,0.4300000071525574
2025-12-22,81900,83000,81400,82000,115500,1.9900497512437811,4649,-612,-31072,27035,0,17903.0,11.880000114440918,322801.0,0.4300000071525574
2025-12-19,79200,80900,78700,80400,133634,2.420382165605096,10566,-294,-19710,9438,0,3923.0,2.4100000858306885,322801.0,0.4300000071525574
2025-12-18,79300,79900,77800,78500,118765,-2.966625463535229,-26055,-2313,17351,11017,0,21225.0,13.920000076293945,321572.0,0.4300000071525574
2025-12-17,79500,81900,78300,80900,129246,2.66497461928934,-9456,-240,-23508,33204,0,25583.0,15.6899995803833,307743.0,0.4099999964237213
2025-12-16,81600,81600,78600,78800,184810,-3.075030750307503,-49693,-34,58653,-8926,0,43889.0,18.209999084472656,272554.0,0.36000001430511475
2025-12-15,83200,83200,81200,81300,185665,-4.127358490566038,-44458,-1973,95092,-48661,0,12423.0,5.409999847412109,248433.0,0.33000001311302185
2025-12-12,83000,86000,82500,84800,203364,3.414634146341464,-5376,-286,-39965,45627,0,19239.0,6.880000114440918,253760.0,0.3400000035762787
2025-12-11,83800,84800,81600,82000,218700,-1.2048192771084338,-43159,-15,3820,39354,0,47022.0,18.170000076293945,247742.0,0.3300000131130218
2025-12-10,85300,85600,83000,83000,170819,-2.007083825265644,-46731,229,36408,10094,0,34901.0,15.130000114440918,242994.0,0.3199999928474426
2025-12-09,83500,86200,82800,84700,155392,0.9535160905840284,4755,-21,-25818,21084,0,8920.0,3.9800000190734863,225135.0,0.3000000119209289
2025-12-08,83300,84000,82000,83900,146710,1.944106925880924,5244,-177,-29803,24736,0,7650.0,3.75,226179.0,0.3000000119209289
2025-12-05,80600,82300,79700,82300,108181,1.1056511056511056,4049,473,-20308,15786,0,6690.0,4.369999885559082,261712.0,0.3499999940395355
2025-12-04,81600,81600,80000,81400,111763,-0.2450980392156862,-11883,-108,11828,163,0,8857.0,5.590000152587891,282684.0,0.3799999952316284
2025-12-03,80700,82400,79600,81600,174387,1.61892901618929,2534,1954,-3834,-654,0,6951.0,2.759999990463257,282702.0,0.3799999952316284
2025-12-02,78900,80300,78100,80300,140153,1.7743979721166032,-12369,-158,-7218,19745,0,18428.0,10.75,281909.0,0.3799999952316284
2025-12-01,80400,80600,78100,78900,134038,-0.6297229219143577,-19720,-2715,21643,792,0,21198.0,11.510000228881836,285005.0,0.3799999952316284
2025-11-28,80600,80800,77900,79400,119053,-0.5012531328320802,-2030,107,9751,-7828,0,14002.0,8.819999694824219,285664.0,0.3799999952316284
2025-11-27,80800,81600,79300,79800,136183,0.3773584905660377,-8372,2500,7917,-2045,0,11391.0,5.889999866485596,281380.0,0.3799999952316284
2025-11-26,79000,79600,77700,79500,193086,2.3166023166023164,-777,1597,21066,-21886,0,16341.0,6.809999942779541,282910.0,0.3799999952316284
2025-11-25,80000,81200,77700,77700,164248,-1.2706480304955527,-7520,139,23648,-16267,0,7091.0,3.039999961853028,265679.0,0.3499999940395355
2025-11-24,81200,82200,78700,78700,431634,-1.3784461152882206,-29392,594,26835,1963,0,18552.0,3.819999933242798,267157.0,0.3600000143051147
2025-11-21,82500,82500,79500,79800,263101,-5.89622641509434,-3463,2688,113913,-113138,0,18372.0,5.090000152587891,265748.0,0.3499999940395355
2025-11-20,86000,86800,84700,84800,119583,0.5931198102016607,2844,358,11736,-14938,0,11819.0,6.730000019073486,268224.0,0.3600000143051147
2025-11-19,87200,87200,81700,84300,183995,-2.543352601156069,-828,1157,37820,-38149,0,14545.0,5.519999980926514,266476.0,0.3600000143051147
2025-11-18,89200,90700,86200,86500,302975,-4.84048404840484,1347,1867,105151,-108365,0,14806.0,3.700000047683716,264956.0,0.3499999940395355
2025-11-17,90000,91500,88500,90900,210437,2.249718785151856,4738,1270,12120,-18128,0,13933.0,4.980000019073486,263676.0,0.3499999940395355
2025-11-14,88600,90800,87600,88900,168114,-1.6592920353982303,-6043,-8086,11706,2423,0,10584.0,4.130000114440918,269682.0,0.3600000143051147
2025-11-13,91900,92100,90300,90400,195859,-1.632208922742111,-68795,2254,28126,38415,0,18281.0,7.050000190734863,252497.0,0.3400000035762787
2025-11-12,92400,92700,89600,91900,197903,0.5470459518599562,9056,4402,61973,-75431,0,18876.0,6.019999980926514,254922.0,0.3400000035762787
2025-11-11,96000,97100,91000,91400,353371,-2.869287991498406,19526,5969,74452,-99947,0,21851.0,3.9600000381469727,260277.0,0.3499999940395355
2025-11-10,88700,94800,88700,94100,501393,8.285385500575373,59584,1140,-115776,55052,0,25628.0,3.319999933242798,267312.0,0.3600000143051147
2025-11-07,90000,90300,85100,86900,334630,-5.646036916395222,-10422,2854,134847,-127279,0,29337.0,5.940000057220459,260727.0,0.3499999940395355
2025-11-06,91200,93700,87300,92100,349112,3.833145434047352,46571,2361,146,-49078,0,18629.0,3.740000009536743,259103.0,0.3499999940395355
2025-11-05,91600,91800,85500,88700,386888,-5.235042735042735,-9839,3196,72800,-66157,0,37026.0,6.449999809265137,237357.0,0.3199999928474426
2025-11-04,97200,97600,93400,93600,388116,-4.294478527607362,-7736,4068,36497,-32829,0,18702.0,3.400000095367432,235535.0,0.3100000023841858
2025-11-03,96900,99500,96900,97800,302118,2.301255230125523,7732,2206,-13898,3960,0,15467.0,3.130000114440918,234636.0,0.3100000023841858
2025-10-31,96800,97900,94900,95600,281423,-2.6476578411405294,-22029,733,56795,-35499,0,19545.0,4.489999771118164,234841.0,0.3100000023841858
2025-10-30,104300,105200,97600,98200,580021,0.306435137895812,3548,-240,59382,-62690,0,26341.0,2.8299999237060547,227420.0,0.3000000119209289
2025-10-29,99600,99700,95900,97900,357273,-0.305498981670061,-1767,463,19706,-18402,0,21185.0,3.509999990463257,227040.0,0.3000000119209289
2025-10-28,104100,104100,97000,98200,735926,-8.395522388059701,-60025,-6887,312282,-245370,0,37089.0,3.119999885559082,220570.0,0.2899999916553497
2025-10-27,97700,108900,97300,107200,1200889,13.080168776371307,63778,505,-286389,222106,0,25918.0,1.2799999713897705,220685.0,0.2899999916553497
2025-10-24,96200,96500,92700,94800,260520,-0.1053740779768176,-422,-228,1610,-960,0,8988.0,2.1700000762939453,228665.0,0.3100000023841858
2025-10-23,94100,97500,91600,94900,382087,-1.2486992715920917,38140,209,-35199,-3150,0,21102.0,3.7100000381469727,233637.0,0.3100000023841858
2025-10-22,91800,96200,88500,96100,461855,5.837004405286344,29250,29,-75836,46557,0,10679.0,1.4600000381469729,253950.0,0.3400000035762787
2025-10-21,89700,95100,88400,90800,502734,2.2522522522522523,35775,6490,-140199,97934,0,11341.0,1.4199999570846558,253114.0,0.3400000035762787
