일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-24,16500,16600,16300,16430,408025,0.1829268292682927,-138016,-849,-48324,187189,0,7962.0,1.9500000476837158,112891.0,0.11999999731779099
2025-12-23,16980,17030,16320,16400,921472,-3.415783274440518,-253742,-5049,165469,93322,0,74220.0,8.050000190734863,112891.0,0.11999999731779099
2025-12-22,16780,16990,16650,16980,500050,1.2522361359570662,-21524,-8054,-80059,109637,0,39664.0,7.929999828338623,112891.0,0.11999999731779099
2025-12-19,16720,16890,16560,16770,423207,1.513317191283293,38446,1242,-97710,58022,0,10298.0,2.430000066757202,146711.0,0.1599999964237213
2025-12-18,16200,16570,16020,16520,737989,1.5990159901599015,32439,144,-56518,23935,0,129513.0,17.549999237060547,164782.0,0.18000000715255737
2025-12-17,16590,16880,15570,16260,2842431,-6.979405034324943,-117483,-234908,433063,-80672,0,225932.0,7.949999809265137,90461.0,0.10000000149011612
2025-12-16,17840,18000,17400,17480,657153,-2.888888888888889,-162944,5361,146409,11174,0,26737.0,4.070000171661377,79001.0,0.09000000357627869
2025-12-15,17890,18190,17580,18000,666022,-0.4975124378109453,41196,84323,-25197,-100322,0,72930.0,10.949999809265137,79975.0,0.09000000357627869
2025-12-12,18120,18550,17670,18090,1217282,1.0614525139664803,141129,68126,122864,-332119,0,192652.0,15.829999923706056,77268.0,0.0799999982118606
2025-12-11,17790,18170,17570,17900,2221560,1.1871113623516112,1046762,-173133,-41977,-831652,0,272579.0,12.270000457763672,79644.0,0.0900000035762786
2025-12-10,18050,18050,17690,17690,449258,-1.940133037694013,18701,7600,47840,-74141,0,55754.0,12.40999984741211,80055.0,0.0900000035762786
2025-12-09,17750,18460,17680,18040,1072279,2.2096317280453257,181824,-90,-144774,-36960,0,175731.0,16.389999389648438,79590.0,0.0900000035762786
2025-12-08,17480,17930,17350,17650,730358,1.088201603665521,32816,23875,-96632,39941,0,43035.0,5.889999866485596,77466.0,0.0799999982118606
2025-12-05,17440,17570,17120,17460,666197,0.1146788990825688,-173189,95466,18659,59064,0,11561.0,1.7400000095367432,78108.0,0.0799999982118606
2025-12-04,18000,18070,17260,17440,1232934,-3.057254030016676,-204552,-143442,173953,174041,0,22524.0,1.830000042915344,77116.0,0.0799999982118606
2025-12-03,18360,18760,17880,17990,1422485,-1.2081274025260844,78626,-10931,233670,-301365,0,89989.0,6.329999923706055,80337.0,0.0900000035762786
2025-12-02,18290,18700,17950,18210,1110365,0.9423503325942352,223954,-272,-28430,-195252,0,91627.0,8.25,107727.0,0.1199999973177909
2025-12-01,17180,18590,17110,18040,1925557,5.806451612903226,476355,-8085,-468174,-96,0,94172.0,4.889999866485596,258173.0,0.2800000011920929
2025-11-28,16630,17070,16410,17050,839205,3.083434099153567,184500,42900,-161985,-65415,0,47937.0,5.710000038146973,268195.0,0.2899999916553497
2025-11-27,16750,16990,16350,16540,1154041,-1.956135151155898,-110591,32308,-131064,209347,0,77951.0,6.75,305533.0,0.3300000131130218
2025-11-26,16780,16940,16580,16870,1278706,0.8368200836820083,-401461,95274,98201,207986,0,31961.0,2.5,307129.0,0.3300000131130218
2025-11-25,17330,17550,16670,16730,1525839,-3.2947976878612715,-150130,-56105,-114724,320959,0,29950.0,1.9600000381469729,307214.0,0.3300000131130218
2025-11-24,18360,18600,17300,17300,1730832,-4.367053620784964,-905,8663,108102,-115860,0,94677.0,5.46999979019165,307213.0,0.3300000131130218
2025-11-21,18170,18890,18070,18090,2643715,-1.684782608695652,602933,-1383,79165,-680715,0,160667.0,6.079999923706055,307227.0,0.3300000131130218
2025-11-20,16200,18700,16000,18400,5088024,13.65040148239654,1087998,-199791,-991429,103222,0,158528.0,3.119999885559082,290947.0,0.3100000023841858
2025-11-19,16530,16790,15930,16190,1845188,0.5590062111801243,309739,-4085,173408,-479062,0,166823.0,9.039999961853027,285947.0,0.3100000023841858
2025-11-18,15710,16260,15590,16100,2606179,2.8753993610223643,296942,-2992,30344,-324294,0,175739.0,6.739999771118164,284862.0,0.3100000023841858
2025-11-17,15350,15940,15250,15650,2616621,4.963112005365526,319701,-179475,12978,-153204,0,166651.0,6.369999885559082,274363.0,0.3000000119209289
2025-11-14,14950,15320,14790,14910,912470,-0.8643617021276596,146022,8340,-36794,-117568,0,43433.0,4.760000228881836,280155.0,0.3000000119209289
2025-11-13,14980,15470,14950,15040,1557207,0.1998667554963357,-55292,85469,-55317,25140,0,75009.0,4.820000171661377,280025.0,0.3000000119209289
2025-11-12,14610,15040,14550,15010,1767249,2.808219178082192,-3378,-26577,-253060,283015,0,930.0,0.050000000745058,280969.0,0.3000000119209289
2025-11-11,16700,16700,14110,14600,7825506,-15.066899360093078,-741296,54833,2412713,-1726250,0,457907.0,5.849999904632568,281508.0,0.3000000119209289
2025-11-10,16870,17290,16750,17190,802049,2.321428571428572,-104768,-14776,-95125,214669,0,10825.0,1.350000023841858,393364.0,0.4300000071525574
2025-11-07,17150,17430,16560,16800,1339766,-3.1141868512110724,-205920,-205435,-154892,566247,0,22891.0,1.7100000381469729,393396.0,0.4300000071525574
2025-11-06,17230,17610,16940,17340,1555884,1.6412661195779603,-71940,-239013,-45971,356924,0,11918.0,0.7699999809265137,408740.0,0.4399999976158142
2025-11-05,18810,18900,17000,17060,2056396,-9.013333333333334,-143412,-34843,71605,106650,0,137859.0,6.699999809265137,412741.0,0.449999988079071
2025-11-04,18390,18820,18090,18750,1381669,2.013057671381937,98717,-146145,-237229,284657,0,108856.0,7.880000114440918,434189.0,0.4699999988079071
2025-11-03,18620,19070,18170,18380,1397951,-0.5949161709031909,-168831,-295717,76754,387794,0,31940.0,2.2799999713897705,442662.0,0.4799999892711639
2025-10-31,18410,18850,18200,18490,832230,0.0,-75768,-98521,2985,171304,0,42505.0,5.110000133514404,437592.0,0.4699999988079071
2025-10-30,18660,18820,18350,18490,740718,-1.2813667912439934,-183500,-8198,-67501,259199,0,17179.0,2.319999933242798,438096.0,0.4699999988079071
2025-10-29,19230,19240,18540,18730,854440,-2.346193952033368,-64240,97210,18974,-51944,0,60910.0,7.130000114440918,439396.0,0.4799999892711639
2025-10-28,19090,19300,18780,19180,797022,1.0005265929436546,-11714,-17150,-16235,45099,0,26750.0,3.359999895095825,421247.0,0.4600000083446502
2025-10-27,18860,19100,18570,18990,921540,0.6359300476947536,-137351,-62806,-137146,337303,0,41788.0,4.53000020980835,414054.0,0.449999988079071
2025-10-24,19000,19060,18660,18870,710686,0.0530222693531283,-162396,31592,-128986,259790,0,17894.0,2.5199999809265137,392469.0,0.4199999868869781
2025-10-23,19190,19240,18780,18860,891167,-1.8219677251431543,-158914,-53174,-18142,230230,0,30973.0,3.4800000190734863,394768.0,0.4300000071525574
2025-10-22,19230,19410,19040,19210,635822,-0.1040041601664066,69855,-23804,83365,-129416,0,19386.0,3.049999952316284,417487.0,0.449999988079071
2025-10-21,19510,19870,19090,19230,968168,-1.2833675564681724,-156039,122,193174,-37257,0,32945.0,3.400000095367432,426166.0,0.4600000083446502
2025-10-20,18880,19580,18500,19480,1065961,3.342175066312997,168742,3530,-189445,17173,0,29061.0,2.7300000190734863,474835.0,0.5099999904632568
2025-10-17,18880,19550,18790,18850,972534,-0.1588983050847457,-109609,-4433,-116072,230114,0,111956.0,11.510000228881836,488162.0,0.5299999713897705
2025-10-16,19210,19460,18880,18880,746415,-1.717855283706403,-25907,7619,85710,-67422,0,59795.0,8.010000228881836,448377.0,0.4900000095367431
2025-10-15,18850,19440,18430,19210,1320878,1.909814323607427,173832,33527,149907,-357266,0,37351.0,2.8299999237060547,439198.0,0.4799999892711639
2025-10-14,19100,19290,18530,18850,1748651,-2.1287642782969884,-372082,2835,-325459,694706,0,47298.0,2.700000047683716,435246.0,0.4699999988079071
2025-10-13,19210,19910,19100,19260,1302677,-2.727272727272727,-290889,-64740,-12007,367636,0,43904.0,3.369999885559082,511651.0,0.550000011920929
2025-10-10,20500,20650,18860,19800,4276681,-7.259953161592506,-157672,1098922,25075,-966325,0,118676.0,2.7699999809265137,505301.0,0.550000011920929
2025-10-02,21150,21450,20650,21350,1260007,1.909307875894988,-105410,-70831,40803,135438,0,17776.0,1.409999966621399,418095.0,0.449999988079071
2025-10-01,21150,21300,20550,20950,904188,-0.7109004739336493,73200,-94762,-71903,93465,0,17605.0,1.950000047683716,427694.0,0.4600000083446502
2025-09-30,21000,21350,20700,21100,819066,0.9569377990430622,102204,6718,-31009,-77913,0,28824.0,3.5199999809265137,419035.0,0.449999988079071
2025-09-29,21350,22100,20600,20900,1541366,-1.182033096926714,87615,-472645,303164,81866,0,51944.0,3.369999885559082,539378.0,0.5799999833106995
2025-09-26,21450,21600,20950,21150,878527,-0.936768149882904,43306,-1366,49579,-91519,0,31529.0,3.5899999141693115,524549.0,0.5699999928474426
2025-09-25,22300,22500,21100,21350,1359427,-3.828828828828829,-4128,1263,10993,-8128,0,11606.0,0.8500000238418579,520495.0,0.5600000023841858
2025-09-24,23900,23900,21950,22200,3232536,-6.13107822410148,202605,-1108989,789041,117343,0,85602.0,2.650000095367432,489814.0,0.5299999713897705
2025-09-23,22350,24000,22250,23650,2950724,5.111111111111112,202311,109220,-319948,8417,0,76377.0,2.5899999141693115,453165.0,0.4900000095367431
2025-09-22,22900,23250,22300,22500,1210863,-1.7467248908296942,-68876,245323,-42534,-133913,0,112629.0,9.300000190734863,463646.0,0.5
2025-09-19,22700,22975,22150,22900,1578555,0.881057268722467,98724,282794,-93293,-288225,0,55855.0,3.539999961853028,389938.0,0.4199999868869781
2025-09-18,22750,22800,21700,22700,3543229,0.2207505518763796,264998,54445,639358,-958801,0,112134.0,3.1600000858306885,369342.0,0.4000000059604645
2025-09-17,21300,23400,21250,22650,6070820,6.338028169014084,456022,124312,-1088614,508280,0,148211.0,2.440000057220459,367021.0,0.4000000059604645
2025-09-16,21050,21400,20450,21300,963767,1.187648456057007,-48766,133969,-213938,128735,0,40478.0,4.199999809265137,316858.0,0.3400000035762787
2025-09-15,21450,21500,20150,21050,2776622,-1.6355140186915886,-18095,-497822,393790,122127,0,29301.0,1.059999942779541,316755.0,0.3400000035762787
2025-09-12,21550,21950,21200,21400,890415,0.234192037470726,57906,-177054,12276,106872,0,40497.0,4.550000190734863,337257.0,0.3700000047683716
2025-09-11,21750,21750,21200,21350,735849,-0.9280742459396752,46452,2587,98590,-147629,0,44980.0,6.110000133514404,318710.0,0.3499999940395355
2025-09-10,21550,22100,21150,21550,1047433,0.4662004662004662,194842,-154462,-125959,85579,0,60730.0,5.800000190734863,340071.0,0.3700000047683716
2025-09-09,21750,21900,21100,21450,875082,-0.9237875288683602,68681,40907,78464,-188052,0,82933.0,9.479999542236328,340069.0,0.3700000047683716
2025-09-08,20900,21650,20500,21650,1097208,4.5893719806763285,159482,4792,-166607,2333,0,76262.0,6.949999809265137,318641.0,0.3499999940395355
2025-09-05,21300,21500,20600,20700,675545,-2.127659574468085,21843,6714,118022,-146579,0,27054.0,4.0,330696.0,0.3600000143051147
2025-09-04,21250,21800,20800,21150,1480640,0.2369668246445497,142596,86516,149423,-378535,0,107037.0,7.230000019073486,445106.0,0.4799999892711639
2025-09-03,19600,21200,19600,21100,2299116,8.371854134566,296051,17531,-435260,121678,0,129288.0,5.619999885559082,426296.0,0.4600000083446502
2025-09-02,20600,21100,19470,19470,1620243,-5.714285714285714,-267690,52543,192937,22210,0,61596.0,3.799999952316284,414960.0,0.449999988079071
2025-09-01,21000,21200,20500,20650,634504,-1.6666666666666667,65078,62069,30286,-157433,0,15771.0,2.490000009536743,414960.0,0.449999988079071
