일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-22,40600,41150,40450,40750,268286,0.4932182490752158,-64383,697,-16262,79948,0,62274.0,17.06999969482422,2109931.0,3.450000047683716
2025-12-19,40550,41000,40200,40550,234394,0.8706467661691543,-10940,2217,21406,-12683,0,64673.0,20.350000381469727,2109931.0,3.450000047683716
2025-12-18,40950,40950,40150,40200,299800,-2.663438256658596,10104,3356,65807,-79267,0,54671.0,12.949999809265137,2109931.0,3.450000047683716
2025-12-17,42950,42950,41100,41300,426721,-3.051643192488263,16957,3732,122670,-143359,0,60929.0,9.729999542236328,2047056.0,3.3499999046325684
2025-12-16,41550,43300,41225,42600,928000,2.527075812274368,130855,881,-287693,155957,0,55280.0,4.159999847412109,1947557.0,3.180000066757202
2025-12-15,40150,42500,40150,41550,586908,1.96319018404908,-92678,2913,-67950,157715,0,65603.0,7.829999923706055,2023088.0,3.309999942779541
2025-12-12,41500,41650,40500,40750,304812,-1.0922330097087378,-16926,-503,78670,-61241,0,72334.0,14.890000343322754,2149065.0,3.509999990463257
2025-12-11,42000,42450,41200,41200,525605,-1.6706443914081146,-175530,68,114895,60567,0,50931.0,6.800000190734863,2079537.0,3.400000095367432
2025-12-10,41100,42350,40850,41900,374372,1.8226002430133657,-28563,-1612,-10684,40859,0,38872.0,6.570000171661377,2145783.0,3.509999990463257
2025-12-09,42050,42050,41000,41150,362840,-1.7899761336515514,-91832,-1044,117725,-24849,0,72006.0,12.850000381469728,2178060.0,3.559999942779541
2025-12-08,42100,42600,41450,41900,341292,0.1194743130227001,-61011,-1427,68910,-6472,0,20589.0,3.650000095367432,2112878.0,3.450000047683716
2025-12-05,42600,42850,41550,41850,448340,-1.875732708089097,-151471,-1385,162594,-9738,0,33457.0,4.869999885559082,2154867.0,3.5199999809265137
2025-12-04,43950,44150,42400,42650,522559,-2.847380410022779,-76245,-5358,160270,-78667,0,86079.0,10.510000228881836,2142015.0,3.5
2025-12-03,44850,45050,43800,43900,352971,-2.6607538802660757,-80559,-278,195212,-114375,0,48741.0,8.449999809265137,2055081.0,3.359999895095825
2025-12-02,44050,45700,43450,45100,584483,2.733485193621868,-13905,13042,-3643,4506,0,28660.0,3.4600000381469727,1940303.0,3.1700000762939453
2025-12-01,45850,45850,43200,43900,602015,-3.303964757709251,19415,-148,162227,-181494,0,94064.0,10.109999656677246,1978334.0,3.2300000190734863
2025-11-28,43950,45400,43800,45400,597793,4.128440366972478,71321,2873,-260866,186672,0,37098.0,3.880000114440918,1806010.0,2.950000047683716
2025-11-27,44500,44950,42300,43600,625209,-2.351623740201568,12588,-2986,4705,-14307,0,78414.0,7.550000190734863,2021308.0,3.299999952316284
2025-11-26,45250,45350,44300,44650,505436,-0.2234636871508379,-9745,-4146,-10214,24105,0,26305.0,3.4100000858306885,2003959.0,3.2799999713897705
2025-11-25,46750,47050,44700,44750,638860,-4.072883172561629,27055,-9431,29641,-47265,0,108007.0,10.3100004196167,2041832.0,3.3399999141693115
